client_id	path	sentence	up_votes	down_votes	age	gender	accents	locale	segment
109ce2e2aa73581337898e38918a6fe1db807c5b71dcb1a1033509fb326e1e89d4584d3fa4dc8bc3ff1e776fc09a163c967dd5a875f67c4aec0cb5b77dcceb01	common_voice_sw_36300004.mp3	idadi ya watoto yatima inaongezeka kwa kasi sana	4	0	twenties	male		sw	
120414bea137eab7d14719d6d81501ff21546ca7719b732d52e6b8b789bbe180ba5e1461c1830ee7b180cd8f65cdea01328430dfa5bdd8bcd549d1b18738b9d8	common_voice_sw_35895985.mp3	Aidha neno nyambo linamaanisha mtu au kitu au mmea asilia	5	0				sw	
172282c37f318c5686a85f5a56c444323feac2c8f4ff80c33af64fa0ee7ddd11d89adb2d86a85d827b64d68de479c5d24b176e9cfe09653f00bda4140b4fafc5	common_voice_sw_35774990.mp3	Maskini kusema hawachoki kuchonga	14	0				sw	
2b866fb04e8161a3cb193ab28065fcff1bed0bbf54e41b199472f9a8adafa35cce8af937a5209932689a978d829c504e8bd98c17f7d4991b1131dced8581a065	common_voice_sw_35774955.mp3	Maneno mema hutowa nyoka pangoni	17	2				sw	
2b98fb1815f98abbe0b0056954124c6cab37320368211425960af5bea461c9fad8029298adb1a21234b4297032acc9f400610cd5c933ea80bce4674f3f9d35b9	common_voice_sw_35085937.mp3	Miaka mitatu ijayo ntakuwa nimemaliza	2	1				sw	
2d0cfa3e7e702229957e3194c2aa3f063c6d48c03f78375983fc47bced7a3dafc16346c8fd8b6f2275c006bff4972c4e9d5ee8c0aa7ac845d1faa6d3f44c0b4c	common_voice_sw_35003972.mp3	kumuongoza kutoka eneo hilo Nikaamua kutoka na kuelekea	4	2	twenties	female		sw	
3280530ab8392d50a759368f237d7b4781838f8634a3589777605d8eba0ab9c11504c32276b8b390887ede99b8e12aab3889a3483c48b4e65403456dc4a24f48	common_voice_sw_35003837.mp3	ile ambao wanataka kunakuwa ile kutokuhesimu haki ya binadamu	3	2				sw	
39de6bb547c4a03f02558215df2331e023f71695ac178397cd18863c3f7fc46671dc0719df812d3e3506cd59b80ee129d30a19c3b4eb8e340b147b2b589890e7	common_voice_sw_35896429.mp3	Na milima ya Alpi upande wa Kusini Mpakani na Denmark	8	1	twenties	male		sw	
42541b4533a9c400eb073ed22943d363996357569f30cfe559e296172c0ab1d2182a59878ff745f54a1e1336f5791ee30dfe1688725b41cc71a312f05042a2a6	common_voice_sw_35004552.mp3	tumesema tume ya taifa ya uchaguzi imechakachua	3	2	twenties	male		sw	
4dd40d3739e3dcba5de2750853e331654ab65b5d502f0e528d7eda461ed9aed9c9f0e04d9beceb5e2368cabbf9cc2553e76c9454798e37079013d017131ece00	common_voice_sw_35145892.mp3	Hivyo alihangaika na kitasa kwa muda kisha kitasa kikafunguka	2	0				sw	
52bc402932cbcfe80fdc89440574de6395210c43f581ff5c095a5dddd8dd406fb33f9f8b6b7cfef477a7d06d584189afb6d1e2a86e21ae75eb66e7ac5a3c65a4	common_voice_sw_35896103.mp3	na elfu moja mia nane juu ya usawa wa Bahari	5	0				sw	
6a6b6a362bfa51967f86c7df5e37a6215a5371cb316d28f618f41fd0df3375107bb302f65837f90f961200d102714157283b4a53c65cef3489d7897fbc09a804	common_voice_sw_35085735.mp3	Chapisho la mkutano wa viongozi limetolewa	2	1				sw	
7763ea7b184867f0d0d5aa1473cd9af22c2ae8b0baff7ff893c2fd7ff9a211d5bc0db73a90877078db365d4dc420910dfbfed1b19e236c32fe6eb45e87cc8c56	common_voice_sw_36106041.mp3	Barabara pana.	3	0				sw	
79aaad8d117008932903e889e57687d5000c98bfc5ebed81c94222f8e95b6034c677247cfcbf6d05e1ad8e7c753d7bbd347723eb0a243fb96a862ca0fb57fccf	common_voice_sw_35087387.mp3	lakini hata hivyo unajua kwamba wengi wamesema kwamba huyu bwana	2	1				sw	
7d23398b3d1434772fbebeb7e3887343a1877e4d875c84897f2cc39e13a62e6f91dd8b783b2fc9141bb544f9d9538ee1ef805330ab2300cbb42bb1ecd58c7110	common_voice_sw_35896074.mp3	mauaji ya kimbari yalijadaliwa kwa kina na wanasheria wasomi	6	2				sw	
7e237224a6da0b27e18b96cfa7b3bf1adfec11ab63307e76d88c4f23f69b9339afacb06601e8e3104259e41c5a307069d1bf6d222baf0dc93239aa7fc1fd071d	common_voice_sw_35187304.mp3	biashara ya madawa za kulevya wa Sinaloa	6	5	twenties	female		sw	
